City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
126,san patricio,28.017,-97.5169,30.65,65,99,6.48,US,1712010884
127,ain beida,35.7964,7.3928,8.89,88,90,1.58,DZ,1712010885
128,fuli,46.7217,131.1394,0.94,53,6,4.59,CN,1712010885
129,igarka,67.4667,86.5833,-12.91,91,100,7.88,RU,1712010885
130,enewetak,11.3474,162.3373,27.07,72,91,6.85,MH,1712010886
131,hammerfest,70.6634,23.6821,-7.75,86,75,5.66,NO,1712010886
132,shagonar,51.5333,92.8,-3.98,91,49,0.74,RU,1712010886
133,kargasok,59.0556,80.8572,-1.13,71,100,5.81,RU,1712010886
134,dois vizinhos,-25.7336,-53.0572,20.87,75,24,1.02,BR,1712010605
135,thames,-37.1333,175.5333,18.42,57,5,1.44,NZ,1712010887
136,hithadhoo,-0.6,73.0833,29.03,74,100,2.11,MV,1712010887
137,nagqu,31.5,92.0,-3.14,33,100,1.71,CN,1712010887
138,totness,5.8833,-56.3167,27.22,81,59,5.48,SR,1712010887
139,bamboo flat,11.7,92.7167,23.05,94,1,1.03,IN,1712010888
140,hiratacho,35.4333,132.8167,6.98,81,38,3.6,JP,1712010888
141,ust-nera,64.5667,143.2,-13.7,85,57,0.74,RU,1712010888
142,portland,45.5234,-122.6762,21.58,43,40,0.89,US,1712010352
143,gazli,40.1333,63.45,11.25,42,100,3.55,UZ,1712010888
144,xining,36.6167,101.7667,4.31,75,100,0.3,CN,1712010889
145,saynshand,44.8824,110.1163,2.33,65,45,1.7,MN,1712010889
146,laguna,38.421,-121.4238,22.99,35,0,3.6,US,1712010305
147,srandakan,-7.9386,110.2506,26.27,88,99,2.3,ID,1712010889
148,avarua,-21.2078,-159.775,30.03,66,20,7.2,CK,1712010890
149,khovd,48.0056,91.6419,-0.52,49,58,0.52,MN,1712010880
150,kabul,34.5,69.4167,8.43,40,1,1.13,AF,1712010600
151,aripuana,-9.1667,-60.6333,23.96,99,100,0.94,BR,1712010890
152,norrtalje,59.758,18.705,1.02,87,100,6.82,SE,1712010890
153,howard springs,-12.497,131.047,26.6,90,98,3.33,AU,1712010891
154,uzgen,40.7699,73.3007,4.16,51,56,2.46,KG,1712010891
155,udachny,66.4167,112.4,-17.12,96,99,3.46,RU,1712010891
156,eastham,41.8301,-69.9739,9.41,80,75,1.54,US,1712010662
157,hamilton,39.1834,-84.5333,21.35,79,40,2.57,US,1712010427
158,marka,1.7159,44.7717,28.26,75,28,3.42,SO,1712010892
159,hillsboro,45.5229,-122.9898,21.35,46,0,2.06,US,1712010808
160,namtsy,62.7161,129.6658,-15.39,99,97,1.22,RU,1712010892
161,yuci,37.6803,112.7319,10.86,76,20,5.0,CN,1712010892
162,novyy urgal,51.0736,132.5642,-6.98,86,63,0.51,RU,1712010893
163,eyl,7.9803,49.8164,27.5,80,20,5.75,SO,1712010893
164,sangkhla buri,15.1555,98.4536,20.15,72,0,0.56,TH,1712010893
165,iquique,-20.2208,-70.1431,22.02,81,9,1.63,CL,1712010693
166,goure,13.9835,10.2704,28.75,15,100,2.08,NE,1712010894
167,ust-tsilma,65.441,52.1498,-2.99,96,100,5.81,RU,1712010894
168,kameyama,34.85,136.45,9.66,47,3,1.05,JP,1712010894
169,coquimbo,-29.9533,-71.3436,18.85,72,0,4.63,CL,1712010711
170,minas de marcona,-15.2119,-75.1103,18.93,73,86,5.55,PE,1712010895
171,pisco,-13.7,-76.2167,25.03,69,0,7.72,PE,1712010850
172,ha tinh,18.3333,105.9,26.05,54,0,1.17,VN,1712010895
173,pico truncado,-46.7949,-67.9573,13.47,33,3,7.24,AR,1712010895
174,gweru,-19.45,29.8167,15.19,70,65,3.1,ZW,1712010895
175,nova sintra,14.8667,-24.7167,19.68,79,7,6.58,CV,1712010896
176,chegdomyn,51.1167,133.0167,-5.93,86,85,0.63,RU,1712010896
177,ulladulla,-35.35,150.4667,21.21,60,98,4.49,AU,1712010311
178,qamdo,31.1667,97.2333,-3.11,65,46,2.23,CN,1712010896
179,muravlenko,63.7898,74.523,-7.65,97,94,2.9,RU,1712010896
180,vernon,50.2581,-119.2691,19.4,25,54,1.54,CA,1712010877
181,nadi,-17.8,177.4167,30.0,70,75,0.0,FJ,1712010897
182,lexington,37.9887,-84.4777,24.07,63,0,4.63,US,1712010602
183,fort bragg,35.139,-79.006,28.08,50,0,5.14,US,1712010897
184,havre,49.5833,0.3333,9.87,76,0,7.2,FR,1712010898
185,la ronge,55.1001,-105.2842,5.14,56,100,9.26,CA,1712010898
186,kavieng,-2.5744,150.7967,28.17,78,100,8.09,PG,1712010898
187,bu'aale,1.0833,42.5833,25.58,87,97,1.09,SO,1712010898
188,temiskaming shores,47.4938,-79.7153,3.89,54,51,2.66,CA,1712010898
189,umluj,25.0213,37.2685,27.28,51,25,3.98,SA,1712010899
190,biesenthal,52.7662,13.6442,12.13,66,100,6.41,DE,1712010899
191,mudgee,-32.5943,149.5871,20.9,90,72,2.58,AU,1712010669
192,lihue,21.9789,-159.3672,25.58,81,100,6.69,US,1712010899
193,bayanhongor,46.7167,100.1167,-4.88,39,97,1.65,MN,1712010899
194,kayangel,8.0823,134.7173,27.8,80,93,7.42,PW,1712010900
195,vila franca do campo,37.7167,-25.4333,16.23,86,31,8.33,PT,1712010305
196,praia da vitoria,38.7333,-27.0667,16.14,72,20,8.62,PT,1712010900
197,ribeira grande,38.5167,-28.7,15.99,82,81,9.39,PT,1712010900
198,nemuro,43.3236,145.575,1.42,74,93,5.19,JP,1712010901
199,selty,57.3132,52.1345,2.1,99,100,4.51,RU,1712010799
200,susuman,62.7833,148.1667,-15.33,85,86,1.31,RU,1712010901
201,punta arenas,-53.15,-70.9167,9.06,66,75,5.66,CL,1712010901
202,marathon,44.9,-89.7668,4.97,67,100,4.63,US,1712010902
203,georgetown,5.4112,100.3354,28.3,89,20,1.03,MY,1712010851
204,rongelap,11.1635,166.8941,27.28,73,100,7.85,MH,1712010902
205,holualoa,19.6228,-155.9522,24.2,80,40,4.12,US,1712010902
206,wynyard,-41.0,145.7167,14.88,91,100,3.16,AU,1712010903
207,princeville,45.7668,-61.2985,0.84,74,100,5.14,CA,1712010903
208,myskhako,44.6714,37.7433,14.77,58,99,2.46,RU,1712010903
209,port lincoln,-34.7333,135.8667,16.18,70,27,6.92,AU,1712010903
210,peace river,56.2501,-117.286,11.17,18,75,7.2,CA,1712010904
211,jaffa,32.0504,34.7522,23.38,40,0,5.14,IL,1712010904
212,macapa,0.0389,-51.0664,29.99,79,40,4.63,BR,1712010776
213,gobabis,-22.45,18.9667,19.04,76,37,3.66,NA,1712010904
214,celestun,20.8667,-90.4,27.64,66,2,6.22,MX,1712010905
215,norilsk,69.3535,88.2027,-15.06,96,100,4.9,RU,1712010661
216,port elizabeth,-33.918,25.5701,17.83,74,100,2.06,ZA,1712010905
217,benjamin constant,-4.3831,-70.0311,30.07,74,20,1.54,BR,1712010905
218,saudarkrokur,65.7461,-19.6394,-3.67,79,43,10.63,IS,1712010906
219,sumbawa besar,-8.5,117.4333,24.38,93,83,1.77,ID,1712010789
220,deqen,29.9618,90.7188,2.58,42,35,2.27,CN,1712010906
221,hastings,50.8552,0.5729,11.18,88,18,9.4,GB,1712010907
222,pacasmayo,-7.4006,-79.5714,23.06,78,31,5.73,PE,1712010907
223,ghat,24.9647,10.1728,25.92,9,1,1.87,LY,1712010907
224,plastun,44.7561,136.2939,2.37,49,0,4.85,RU,1712010736
225,kiunga,-6.1219,141.2906,24.19,99,99,0.4,PG,1712010384
226,le port,-20.9373,55.2919,25.0,93,100,2.17,RE,1712010908
227,karratha,-20.7377,116.8463,29.14,36,1,6.15,AU,1712010908
228,bijar,35.8668,47.6051,6.42,60,4,1.96,IR,1712010908
229,altai,46.3722,96.2583,-2.35,42,100,0.96,MN,1712010909
230,tadine,-21.55,167.8833,26.19,66,52,5.29,NC,1712010909
231,siwa oasis,29.2041,25.5195,22.4,31,0,3.7,EG,1712010909
232,tomatlan,19.9333,-105.25,31.28,39,86,5.24,MX,1712010909
233,canasgordas,6.7499,-76.0254,23.74,85,98,2.24,CO,1712010910
234,gaspe,48.8334,-64.4819,4.12,38,75,6.17,CA,1712010782
235,newman,37.3138,-121.0208,21.27,48,0,4.02,US,1712010910
236,mersing,2.4312,103.8405,25.95,94,20,3.09,MY,1712010910
237,al burayqah,30.4062,19.5739,21.8,51,0,3.99,LY,1712010911
238,callao,-12.0667,-77.15,24.16,69,0,7.2,PE,1712010779
239,kwale,5.7063,6.4374,27.79,75,99,1.68,NG,1712010911
240,nar'yan-mar,67.6713,53.087,-9.38,87,100,4.92,RU,1712010796
241,sucua,-2.4667,-78.1667,24.41,83,75,0.33,EC,1712010912
242,lillehammer,61.1146,10.4674,2.21,89,100,1.18,NO,1712010912
243,northam,51.0333,-4.2167,8.7,94,27,3.25,GB,1712010912
244,kerikeri,-35.2268,173.9474,20.51,76,60,1.0,NZ,1712010912
245,vilyuysk,63.7553,121.6247,-24.44,100,97,0.45,RU,1712010913
246,vanimo,-2.6741,141.3028,27.6,86,90,1.74,PG,1712010913
247,bereza,53.5183,50.1397,0.01,100,100,3.0,RU,1712010913
248,taoudenni,22.6783,-3.9836,31.36,13,41,5.19,ML,1712010913
249,argostolion,38.1811,20.489,17.08,48,71,5.56,GR,1712010914
250,rock springs,41.5875,-109.2029,7.35,60,100,3.6,US,1712010843
251,arraial do cabo,-22.9661,-42.0278,23.98,78,20,2.57,BR,1712010914
252,divnogorsk,55.9594,92.3619,-4.03,93,97,1.69,RU,1712010736
253,kruisfontein,-34.0033,24.7314,16.6,75,99,2.25,ZA,1712010915
254,antsiranana,-12.2787,49.2917,25.51,90,87,4.29,MG,1712010915
255,inhambane,-23.865,35.3833,24.21,84,80,3.91,MZ,1712010915
256,castricum,52.5483,4.6694,10.04,69,12,6.92,NL,1712010915
257,rubizhne,49.0123,38.3797,14.14,46,67,2.67,UA,1712010916
258,khandyga,62.6667,135.6,-16.73,96,100,0.11,RU,1712010916
259,new norfolk,-42.7826,147.0587,16.07,98,100,0.98,AU,1712010916
260,mana,5.6592,-53.7767,26.6,81,52,3.21,GF,1712010916
261,dergachi,51.2328,48.7659,9.86,81,100,3.75,RU,1712010917
262,flying fish cove,-10.4217,105.6791,25.82,88,75,2.57,CX,1712010917
263,puerto baquerizo moreno,-0.9,-89.6,27.55,78,20,1.54,EC,1712010738
264,crane,31.3974,-102.3501,21.6,19,58,14.65,US,1712010917
265,contamana,-7.3333,-75.0167,24.79,93,94,0.89,PE,1712010918
266,cockburn town,21.4612,-71.1419,24.65,67,1,8.48,TC,1712010620
267,launceston,-41.45,147.1667,15.8,100,100,3.6,AU,1712010876
268,bar,49.0772,27.6826,16.25,48,62,3.57,UA,1712010918
269,mugia,43.1041,-9.2179,13.84,84,94,12.57,ES,1712010918
270,grand forks,47.9417,-97.4337,8.21,24,0,2.57,US,1712010759
271,galliano,29.4422,-90.2992,26.11,78,100,3.6,US,1712010919
272,dataganj,28.0333,79.4,20.42,22,74,3.95,IN,1712010919
273,sandnessjoen,66.0217,12.6316,-0.71,72,93,9.16,NO,1712010920
274,copala,16.65,-98.9833,28.8,61,9,4.14,MX,1712010920
275,leisnig,51.1667,12.9167,10.08,74,100,6.15,DE,1712010920
276,haiku-pauwela,20.9219,-156.3051,26.01,75,40,10.8,US,1712010921
277,yarmouth,41.7057,-70.2286,10.64,78,100,1.54,US,1712010734
278,kavaratti,10.5669,72.642,28.19,75,9,2.95,IN,1712010921
279,mersa matruh,31.3525,27.2453,17.11,88,0,2.06,EG,1712010691
280,kapa'a,22.0752,-159.319,25.99,81,100,6.69,US,1712010663
281,bathsheba,13.2167,-59.5167,28.34,69,20,7.2,BB,1712010922
282,tionk essil,12.7856,-16.5217,24.03,58,0,3.57,SN,1712010802
283,weno,7.4515,151.8468,29.97,84,100,4.12,FM,1712010923
284,georgiyevka,43.0369,74.7114,2.02,100,55,0.0,KZ,1712010923
285,sosnovo-ozerskoye,52.5249,111.5418,-6.82,57,27,6.77,RU,1712010923
286,dunedin,-45.8742,170.5036,14.81,61,34,2.24,NZ,1712010923
287,shahba,32.8551,36.629,16.56,33,57,0.82,SY,1712010923
288,luganville,-15.5333,167.1667,27.57,86,72,4.34,VU,1712010924
289,ebolowa,2.9,11.15,22.73,91,98,0.83,CM,1712010924
290,kasongo-lunda,-6.4667,16.8167,20.79,87,78,0.14,CD,1712010924
291,dolores,-36.3132,-57.6792,13.79,80,66,2.92,AR,1712010679
292,lazaro cardenas,17.9583,-102.2,27.31,64,75,4.62,MX,1712010925
293,uyuni,-20.4597,-66.825,14.17,23,2,2.13,BO,1712010925
294,prabumulih,-3.45,104.25,23.56,99,78,1.0,ID,1712010925
295,galesong,-5.3166,119.3661,25.01,86,100,1.86,ID,1712010926
296,utrik,11.2278,169.8474,27.1,70,100,7.57,MH,1712010926
297,natal,-5.795,-35.2094,28.12,83,40,4.12,BR,1712010787
298,comodoro rivadavia,-45.8667,-67.5,17.92,27,0,6.69,AR,1712010894
299,fale old settlement,-9.3852,-171.2468,29.53,73,26,5.93,TK,1712010927
300,bikaner,28.0167,73.3,23.23,20,64,3.86,IN,1712010927
301,wuchang,44.9143,127.15,1.36,42,15,2.84,CN,1712010927
302,mulayjah,27.271,48.4242,23.03,38,40,1.71,SA,1712010927
303,salinas,36.6777,-121.6555,23.68,58,0,5.14,US,1712010793
304,ayora,39.0585,-1.0563,11.71,73,96,5.82,ES,1712010928
305,qulsary,46.9531,54.0198,9.88,53,5,2.9,KZ,1712010928
306,mili,6.0815,171.735,28.22,77,97,7.9,MH,1712010929
